Player,Rating,Chase W/L,Evade W/L,Chase Wins,Evade Wins,Chase Loss,Evade Loss,Chases
Will Pippin,1004.7885,0.86,0.14,6,1,1,6,14
Leon Brandt,1004.4516,1.00,0.00,4,0,0,6,10
Carsten Stolz,1004.0722,0.50,0.20,2,1,2,4,9
Sean Rhinehart,1003.9805,1.00,0.00,9,0,0,8,17
Mark Bowles,1003.7128,0.92,0.26,22,10,2,28,62
Marcus Simmons,1003.3583,1.00,0.00,3,0,0,3,6
Anthony Eardley,1003.2175,1.00,0.00,2,0,0,2,4
Antonio Allen,1002.7656,0.78,0.25,7,2,2,6,17
Chris Harrison,1002.3782,1.00,0.00,1,0,0,1,2
Barry H,1002.2996,1.00,0.00,1,0,0,1,2
Travis Graves,1002.0357,1.00,0.00,4,0,0,4,8
Connor Mackinnon,1002.0081,1.00,0.00,1,0,0,1,2
JB Ninjaboy,1002.0040,0.78,0.19,14,3,4,13,34
Oscar Garcia,1001.9241,1.00,0.00,1,0,0,1,2
Tay,1001.1462,1.00,0.00,1,0,0,1,2
Ramcis Valdez,1001.1228,1.00,0.00,1,0,0,1,2
Andi Wöhle,1000.9985,1.00,0.00,4,0,0,4,8
Sarin Suvanasai,1000.9215,0.75,0.33,6,2,2,4,14
Don Terry,1000.7540,0.50,0.50,1,1,1,1,4
Amin Ashraf,1000.6817,0.67,0.20,6,2,3,8,19
Jordie Lynch,1000.5899,1.00,0.00,1,0,0,1,2
Sam Sutherland,1000.4738,1.00,0.00,1,0,0,1,2
Adam Cooper,1000.1313,1.00,0.00,2,0,0,2,4
Kelly Pierre,999.8745,1.00,0.00,1,0,0,1,2
Maxim Mirozni,999.2681,1.00,0.00,1,0,0,2,3
Jonathan Santiago,999.2160,1.00,0.00,1,0,0,1,2
Johnstone Macpherson-Stewart,999.0242,1.00,0.00,1,0,0,1,2
Erik Mukameshin,998.7428,1.00,0.00,4,0,0,4,8
Ziek Driscoll,998.3434,0.67,0.33,2,1,1,2,6
Enzo Chaudet,998.2601,0.88,0.00,7,0,1,8,16
Jérémy Lorsignol,997.8963,0.80,0.20,4,1,1,4,10
Jules Mettetal,997.7940,0.71,0.00,5,0,2,4,11
Marc Lloret Torres,997.7487,1.00,0.00,1,0,0,2,3
José Peña,997.6157,0.67,0.18,8,2,4,9,23
Abdallah Marega,996.8769,0.83,0.29,10,4,2,10,26
Raul Cantero,996.7631,1.00,0.00,2,0,0,2,4
Omar Majdoub,995.8723,1.00,0.00,2,0,0,2,4
Sidney Kordy,994.9838,0.00,0.00,0,0,0,1,1
Yuval Salah,994.9490,1.00,0.00,2,0,0,2,4
Julian Halil,994.6829,0.60,0.25,3,1,2,3,9
Jose Mutt,994.6492,0.75,0.00,3,0,1,3,7
John Lunsford,994.5303,0.80,0.17,4,1,1,5,11
Pedro Salgado,994.4815,0.83,0.00,5,0,1,5,11
Bogdan Suciu,994.4054,1.00,0.00,1,0,0,2,3
Alexander Iannitelli,994.0410,1.00,0.00,1,0,0,1,2
Franco Noviello,993.9157,0.50,0.50,1,1,1,1,4
Luzian Marti,992.6067,0.67,0.00,2,0,1,2,5
Ryan Campbell,991.9971,0.75,0.11,9,1,3,8,21
Joshua Cisneros,990.7217,0.75,0.09,9,1,3,10,23
Joshua Montano,990.7023,1.00,0.00,2,0,0,3,5
Felix de Rosa,990.2863,0.86,0.14,6,1,1,6,14
